Timestamp,Response Time (s),Response Text
2024-05-09 09:57:33.127504,2.2607901096343994,10.0.0.1
2024-05-09 09:57:33.184882,2.405172109603882,10.0.0.1
2024-05-09 09:57:33.349825,2.4424641132354736,10.0.0.1
2024-05-09 09:57:33.560288,2.433506965637207,10.0.0.1
2024-05-09 09:57:33.239203,3.1590402126312256,10.0.0.1
2024-05-09 09:57:33.293333,3.307805061340332,10.0.0.1
2024-05-09 09:57:33.400251,3.4019410610198975,10.0.0.1
2024-05-09 09:57:33.609622,3.394869089126587,10.0.0.1
2024-05-09 09:57:33.449957,3.7593612670898438,10.0.0.1
2024-05-09 09:57:33.506706,3.900846242904663,10.0.0.1
2024-05-09 09:57:37.469149,1.0594418048858643,10.0.0.3
2024-05-09 09:57:37.524632,1.035121202468872,10.0.0.3
2024-05-09 09:57:37.577476,1.0447301864624023,10.0.0.3
2024-05-09 09:57:37.632209,1.0694921016693115,10.0.0.3
2024-05-09 09:57:37.685823,1.0346026420593262,10.0.0.3
2024-05-09 09:57:37.739179,1.0453863143920898,10.0.0.3
2024-05-09 09:57:37.796305,1.0513508319854736,10.0.0.3
2024-05-09 09:57:37.848257,1.0607740879058838,10.0.0.3
2024-05-09 09:57:37.902672,1.0422167778015137,10.0.0.3
2024-05-09 09:57:37.956745,1.0479509830474854,10.0.0.3
2024-05-09 09:57:39.489067,2.401123046875,10.0.0.1
2024-05-09 09:57:39.060646,3.432300090789795,10.0.0.1
2024-05-09 09:57:39.277670,3.4194979667663574,10.0.0.1
2024-05-09 09:57:39.438257,3.4609503746032715,10.0.0.1
2024-05-09 09:57:39.116429,3.9826669692993164,10.0.0.1
2024-05-09 09:57:39.167830,4.337454795837402,10.0.0.1
2024-05-09 09:57:39.326772,4.381622791290283,10.0.0.1
2024-05-09 09:57:39.545069,4.362579584121704,10.0.0.1
2024-05-09 09:57:39.224301,5.087735652923584,10.0.0.1
2024-05-09 09:57:39.383169,5.131150007247925,10.0.0.1
2024-05-09 09:57:44.575352,1.0531024932861328,10.0.0.2
2024-05-09 09:57:44.626322,1.0490529537200928,10.0.0.2
2024-05-09 09:57:44.678597,1.0511384010314941,10.0.0.2
2024-05-09 09:57:44.735173,1.0595333576202393,10.0.0.2
2024-05-09 09:57:44.789570,1.034574270248413,10.0.0.2
2024-05-09 09:57:44.842973,1.0427343845367432,10.0.0.2
2024-05-09 09:57:44.897078,1.0566432476043701,10.0.0.2
2024-05-09 09:57:44.947891,1.0355010032653809,10.0.0.2
2024-05-09 09:57:45.004465,1.2326924800872803,10.0.0.1
2024-05-09 09:57:45.053846,1.3861572742462158,10.0.0.1
2024-05-09 09:57:46.504453,2.365748882293701,10.0.0.1
2024-05-09 09:57:46.663681,2.4055378437042236,10.0.0.1
2024-05-09 09:57:46.823296,2.6538822650909424,10.0.0.1
2024-05-09 09:57:46.553866,3.1254208087921143,10.0.0.1
2024-05-09 09:57:46.610593,3.272066831588745,10.0.0.1
2024-05-09 09:57:46.713483,3.3690290451049805,10.0.0.1
2024-05-09 09:57:46.873865,3.41318678855896,10.0.0.1
2024-05-09 09:57:46.769562,4.328742027282715,10.0.0.1
2024-05-09 09:57:46.930744,4.370545387268066,10.0.0.1
2024-05-09 09:57:46.984641,5.329986333847046,10.0.0.1
2024-05-09 09:57:52.374834,1.0361990928649902,10.0.0.2
2024-05-09 09:57:52.426534,1.045255422592163,10.0.0.2
2024-05-09 09:57:52.478515,1.0264708995819092,10.0.0.2
2024-05-09 09:57:52.532351,1.0350518226623535,10.0.0.2
2024-05-09 09:57:52.585346,1.0576345920562744,10.0.0.2
2024-05-09 09:57:52.638393,1.0547504425048828,10.0.0.2
2024-05-09 09:57:52.691564,1.0486600399017334,10.0.0.2
2024-05-09 09:57:52.743460,1.0494704246520996,10.0.0.2
